name,hex,link
Bleu Acier,#1a2b3c,https://fr.wikipedia.org/wiki/Bleu_acier
Bleu Ardoise,#686f8c,https://fr.wiktionary.org/w/index.php?title=bleu_ardoise&action=edit&redlink=1
Bleu Azur,#1e7fcb,https://fr.wiktionary.org/w/index.php?title=bleu_azur&action=edit&redlink=1
Bleu Barbeau,#5573af,https://fr.wiktionary.org/wiki/bleu_barbeau
Bleu Bleuet,#5674b0,https://fr.wiktionary.org/wiki/bleu_bleuet
Bleu Canard,#048b9a,https://fr.wikipedia.org/wiki/Bleu_canard
Bleu Caraïbes,#2696b6,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Chardon,#5c7294,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Charrette,#8ea2c6,https://fr.wikipedia.org/wiki/Bleu_charrette
Bleu Charron,#8fa3c7,https://fr.wiktionary.org/wiki/bleu_charron
Bleu Ciel,#007cb0,https://fr.wikipedia.org/wiki/Bleu_ciel
Bleu Clair de Lune,#dbe2e9,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Cobalt,#22427c,https://fr.wikipedia.org/wiki/Bleu_de_cobalt#Couleur_bleu_cobalt
Bleu Céleste,#26c4ec,https://fr.wikipedia.org/wiki/C%C3%A6ruleum
Bleu Cérule,#357ab7,https://fr.wiktionary.org/w/index.php?title=bleu_c%C3%A9rule&action=edit&redlink=1
Bleu Céruléen,#367bb8,https://fr.wiktionary.org/w/index.php?title=bleu_c%C3%A9rul%C3%A9en&action=edit&redlink=1
Bleu Denim,#1560bd,https://fr.wikipedia.org/wiki/Indigo#Nuanciers
Bleu Doux,#bbc3d9,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Dragée,#dff2ff,https://fr.wikipedia.org/wiki/Rose_drag%C3%A9e
Bleu Egyptien,#1034a6,https://fr.wikipedia.org/wiki/Bleu_%C3%A9gyptien
Bleu Electrique,#2c75ff,https://fr.wikipedia.org/wiki/Bleu_%C3%A9lectrique
Bleu Fjord,#3d95a5,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu France,#318ce7,https://fr.wiktionary.org/wiki/bleu_France
Bleu Fumée,#bbd2e1,https://fr.wikipedia.org/wiki/Fum%C3%A9e_(couleur)
Bleu Gauloise,#a1c2d7,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Gentiane,#4781a5,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Givré,#80d0d0,https://fr.wikipedia.org/wiki/Bleu_givr%C3%A9
Bleu Glacier,#d3d7ed,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Gris,#6a859e,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Guède,#56739a,https://fr.wiktionary.org/w/index.php?title=bleu_gu%C3%A8de&action=edit&redlink=1
Bleu Horizon,#7f8fa6,https://fr.wikipedia.org/wiki/Bleu_horizon
Bleu Hortensia,#b7bfdd,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Hussard,#24445c,https://fr.wiktionary.org/w/index.php?title=bleu_hussard&action=edit&redlink=1
Bleu Igloo,#cddfed,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Indigo,#253b73,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Klein,#002fa7,https://fr.wikipedia.org/wiki/International_Klein_Blue
Bleu Lavande,#9683ec,https://fr.wiktionary.org/w/index.php?title=bleu_lavande&action=edit&redlink=1
